"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2022-07-20T00:00:00.000","1:25",,,"40.835808","-73.89083","
,  
(40.835808, -73.89083)","BOSTON ROAD",,,"0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4547589","Sedan","Sedan",,,
"2022-07-21T00:00:00.000","5:20",,,,,,"FDR DRIVE",,,"0","0","0","0","0","0","0","0","Unsafe Speed","Unspecified",,,,"4548075","Sedan","Sedan",,,
"2021-04-14T00:00:00.000","5:32",,,,,,"BRONX WHITESTONE BRIDGE",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407480","Sedan","Sedan",,,
"2021-04-13T00:00:00.000","21:35","BROOKLYN","11217","40.6835800","-73.9761700","(40.68358, -73.97617)",,,"620       ATLANTIC AVENUE               ","1","0","1","0","0","0","0","0","Unspecified",,,,,"4407147","Sedan",,,,
"2021-04-15T00:00:00.000","16:15",,,,,,"HUTCHINSON RIVER PARKWAY",,,"0","0","0","0","0","0","0","0","Pavement Slippery",,,,,"4407665","Station Wagon/Sport Utility Vehicle",,,,
"2022-07-22T00:00:00.000","0:10",,,,,,"ATLANTIC AVENUE","VANWYCK EXPRESSWAY",,"2","0","0","0","0","0","2","0","Obstruction/Debris",,,,,"4548305","Bus",,,,
"2022-07-20T00:00:00.000","22:15",,,,,,"WEST 110 STREET",,,"1","0","0","0","1","0","0","0","Following Too Closely","Unspecified",,,,"4548361","Bike",,,,
"2021-04-13T00:00:00.000","16:00","BROOKLYN","11222",,,,"VANDERVORT AVENUE","ANTHONY STREET",,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407811","Sedan",,,,
"2022-07-22T00:00:00.000","15:54",,,,,,"BROOKVILLE BOULEVARD","ROCKAWAY BOULEVARD",,"0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Passing or Lane Usage Improper",,,,"4548491","Sedan","Sedan",,,
"2021-04-12T00:00:00.000","8:25",,,"0.0000000","0.0000000","(0.0, 0.0)","EDSON AVENUE                    ",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4406885","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-13T00:00:00.000","17:11",,,,,,"VERRAZANO BRIDGE UPPER",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407883","Sedan","Box Truck",,,
"2022-07-21T00:00:00.000","15:00",,,"40.71507","-73.91327","
,  
(40.71507, -73.91327)","54 STREET","FLUSHING AVENUE",,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4548548","Sedan","Sedan",,,
"2021-04-13T00:00:00.000","17:30","QUEENS","11106",,,,"33 st","31ave",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4408019","Sedan","Sedan",,,
"2021-04-16T00:00:00.000","23:30",,,,,,"SHORE PARKWAY",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4408060","Sedan",,,,
"2022-07-19T00:00:00.000","13:41",,,,,,"BAY PARKWAY",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4548689","Station Wagon/Sport Utility Vehicle","PK",,,
"2021-04-11T00:00:00.000","17:00",,,,,,"GOWANUS RAMP                    ",,,"1","0","0","0","0","0","1","0","Other Vehicular","Other Vehicular",,,,"4406314","Sedan","Sedan",,,
"2021-04-16T00:00:00.000","21:15",,,,,,"BRONX RIVER PARKWAY RAMP",,,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4408149","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-11T00:00:00.000","21:06","BROOKLYN","11226",,,,"BEVERLEY ROAD                   ","EAST 21 STREET",,"1","0","1","0","0","0","0","0","Passing Too Closely",,,,,"4406488","Taxi",,,,
"2022-07-19T00:00:00.000","16:12","MANHATTAN","10018",,,,"WEST 36 STREET","BROADWAY",,"0","0","0","0","0","0","0","0","Unsafe Lane Changing","Driver Inattention/Distraction",,,,"4548837","Motorcycle","Bike",,,
"2021-04-15T00:00:00.000","20:00","STATEN ISLAND","10304",,,,"GREENFIELD AVENUE","OSGOOD AVENUE",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4408310","Sedan",,,,
"2021-04-10T00:00:00.000","11:15",,,,,,"BROOKLYN BRIDGE                 ",,,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4406097","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2019-05-21T00:00:00.000","22:50","BROOKLYN","11201","40.6975400","-73.9831200","
,  
(40.69754, -73.98312)","GOLD STREET","CONCORD STREET",,"0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4136992","�MBU","Taxi",,,
"2020-01-21T00:00:00.000","15:49",,,,,,"BRUCKNER BLVD","�ST 138 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4277087","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-02-26T00:00:00.000","14:50","BRONX","10461","40.843464","-73.836","
,  
(40.843464, -73.836)",,,"2819      MIDDLETOWN ROAD","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4395664","Station Wagon/Sport Utility Vehicle",,,,
"2021-03-09T00:00:00.000","11:00",,,"40.6925470","-73.9909740","
,  
(40.692547, -73.990974)","COURT STREET","JORALEMON STREET",,"1","0","0","0","0","0","1","0","Following Too Closely","Unspecified",,,,"4397513","Pick-up Truck","Sedan",,,
"2021-03-31T00:00:00.000","22:20","BROOKLYN","11234","40.6264570","-73.9180000","
,  
(40.626457, -73.918)","RALPH AVENUE","AVENUE K",,"1","0","0","0","0","0","1","0","Driver Inexperience","Unspecified",,,,"4403773","Sedan","Sedan",,,
"2021-04-06T00:00:00.000","22:58","STATEN ISLAND","10312","40.5268940","-74.1672800","
,  
(40.526894, -74.16728)","BARCLAY AVENUE","HYLAN BOULEVARD",,"7","0","0","0","0","0","7","0","Failure to Yield Right-of-Way","Unsafe Speed",,,,"4405244","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-09T00:00:00.000","14:45",,,"40.8407750","-73.8724600","
,  
(40.840775, -73.87246)","BRONX RIVER PARKWAY",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified","Unspecified","Unspecified",,"4405914","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,
"2021-04-14T00:00:00.000","13:00",,,,,,"MAJOR DEEGAN EXPRESSWAY RAMP",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4408191","Station Wagon/Sport Utility Vehicle","Box Truck",,,
"2021-04-14T00:00:00.000","11:00",,,"40.694035","-73.72679","
,  
(40.694035, -73.72679)","CROSS ISLAND PARKWAY",,,"1","0","0","0","0","0","1","0","Brakes Defective","Unspecified",,,,"4407366","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-15T00:00:00.000","13:30","BRONX","10461","40.857365","-73.84657","
,  
(40.857365, -73.84657)",,,"1400      PELHAM PARKWAY SOUTH","0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407778","Sedan","Ambulance",,,
"2021-04-14T00:00:00.000","14:40",,,"40.698807","-73.91837","
,  
(40.698807, -73.91837)","MYRTLE AVENUE",,,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4407461","Box Truck","Sedan",,,
"2021-04-14T00:00:00.000","21:43","QUEENS","11429","40.71402","-73.74827","
,  
(40.71402, -73.74827)",,,"211-20    99 AVENUE","0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4407407","Station Wagon/Sport Utility Vehicle",,,,
"2021-04-16T00:00:00.000","17:40","BRONX","10474","40.815","-73.89402","
,  
(40.815, -73.89402)","GARRISON AVENUE","LONGWOOD AVENUE",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407900","Sedan","Sedan",,,
"2021-04-16T00:00:00.000","0:50",,,"40.55079","-74.20098","
,  
(40.55079, -74.20098)","HUGUENOT AVENUE",,,"0","0","0","0","0","0","0","0","Driver Inexperience","Unspecified","Unspecified",,,"4407760","Sedan","Station Wagon/Sport Utility Vehicle","Sedan",,
"2021-04-15T00:00:00.000","10:30","BROOKLYN","11207","40.655903","-73.89817","
,  
(40.655903, -73.89817)",,,"319       DE WITT AVENUE","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4407746","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-16T00:00:00.000","16:35","BRONX","10475","40.890076","-73.819855","
,  
(40.890076, -73.819855)","BOSTON ROAD","ROPES AVENUE",,"2","0","0","0","0","0","2","0","Unsafe Speed","Unspecified",,,,"4408143","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2021-04-15T00:00:00.000","17:20","BROOKLYN","11236","40.650402","-73.89422","
,  
(40.650402, -73.89422)","GLENWOOD ROAD","EAST 108 STREET",,"1","0","0","0","0","0","1","0","Following Too Closely","Unspecified",,,,"4407638","Sedan","Van",,,
"2021-04-16T00:00:00.000","21:20","MANHATTAN","10025","40.79335","-73.97275","
,  
(40.79335, -73.97275)","WEST 94 STREET","BROADWAY",,"0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4407958","Sedan",,,,
"2021-04-16T00:00:00.000","17:20","MANHATTAN","10012","40.72538","-74.00011","
,  
(40.72538, -74.00011)","PRINCE STREET","WOOSTER STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407885","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2021-04-15T00:00:00.000","14:30","QUEENS","11377","40.75184","-73.90358","
,  
(40.75184, -73.90358)","BROADWAY","58 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4407616","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-16T00:00:00.000","23:20","BROOKLYN","11226","40.649788","-73.9622","
,  
(40.649788, -73.9622)","EAST 19 STREET","CHURCH AVENUE",,"3","0","0","0","0","0","3","0","Unspecified","Unspecified","Unspecified",,,"4408038","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,
"2021-04-16T00:00:00.000","18:15","BROOKLYN","11221","40.686928","-73.920815","
,  
(40.686928, -73.920815)",,,"50        HOWARD AVENUE","0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4408224","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2021-04-14T00:00:00.000","13:00","BROOKLYN","11211","40.712963","-73.93647","
,  
(40.712963, -73.93647)",,,"950       GRAND STREET","0","0","0","0","0","0","0","0","Passing or Lane Usage Improper","Unspecified",,,,"4407392","Pick-up Truck",,,,
