"crash_record_id","rd_no","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"530411c8611eb0ccb9b25f16b2955cd21761fa1928dcaa71279438be032526d11c08ca75075f176d2dc0085665b171fd57eca2c7cf88221d1191d351867bec81","JE494048",,"2021-12-31T14:00:00.000","35","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","TURNING","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2021-12-31T14:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","6021","S","ARCHER AVE","811",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","14","6","12","41.794849958","-87.767280356","POINT (-87.767280356289 41.794849958048)"
"305b06235b250aa0029c07313c84f969f4bc13c1cc371592780886815ca51411acb80530c99edd0cd57329d1e808ca56923fb2d4a8ba93bd7d0b272eda9d769f","JE494008",,"2021-12-31T14:00:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DUSK","TURNING","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,"Y","OVER $1,500","2021-12-31T14:15:00.000","FAILING TO YIELD RIGHT-OF-WAY","DISREGARDING YIELD SIGN","2400","W","MADISON ST","1222",,"Y",,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","2","0","14","6","12","41.881270504","-87.68653594","POINT (-87.686535940171 41.881270504288)"
"444221c2a9bc82fc4f301062ab22b482d7d661cf88fcdf3b7b7e04e3675673f651dc99513069ca0ff83fc0bd852790324463419e52ba713a25703c94d15a156b","JE494016","Y","2021-12-31T13:56:00.000","10","OTHER","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,"Y",,"$501 - $1,500","2021-12-31T14:20:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","9400","S","ASHLAND AVE","2221",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.722941218","-87.662862871","POINT (-87.662862871273 41.72294121821)"
"4603435fbb4ef5d45c0d805c3e9aa5558a311a140a737e37aa56d4f70ea0161f8f2e187270d33f36070c6a1b0f0c26401d0f0ad8b3f9dae797f8041f754d6297","JE494049",,"2021-12-31T13:46:00.000","30","NO CONTROLS","NO CONTROLS","RAIN","DAYLIGHT","PEDALCYCLIST","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH",,,,"$500 OR LESS","2021-12-31T15:13:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","1910","E","71ST ST","332",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","2","0","13","6","12","41.766335622","-87.578269718","POINT (-87.578269718478 41.766335621716)"
"db62bb4534d0dae57112ea3ff8d50193784aaa732ed58d1fe2f7ccb826798a0e6c56cf119a5102e696b79aa081ef0af9f96ba1779d17bc7fcc258675d53ae540","JE494000",,"2021-12-31T13:45:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","WET","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2021-12-31T15:50:00.000","IMPROPER LANE USAGE","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","7900","S","LANGLEY AVE","624",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.751150175","-87.607802036","POINT (-87.607802036151 41.7511501753)"
"7be2d128e14efdcb70fdbf27dbe8fd18f31a045118f2b03095d02cc94e1d425027841c74d144734dc8ed2e59b29bb8a351ef18db34649ca75dff5e009bc5a746","JE493993",,"2021-12-31T13:40:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DAWN","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2021-12-31T13:45:00.000","UNABLE TO DETERMINE","FOLLOWING TOO CLOSELY","12700","S","INDIANA AVE","532",,,,,,,"3","NO INDICATION OF INJURY","0","0","0","0","0","5","0","13","6","12","41.663254479","-87.61778866","POINT (-87.617788659925 41.663254478672)"
"b21c3c048ac319f0fca67804ab0fce0149c97d11a850fff5aba1e5d123ae0cbaec29799c1bc7e289e70303e2167606867a2e888220a341464d5d2818e8745b9f","JE494019",,"2021-12-31T13:31:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2021-12-31T13:31:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2157","W","OGDEN AVE","1225",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.869130395","-87.680566017","POINT (-87.680566016706 41.869130394922)"
"ff9ed4054cd9f4b2908d1e1ef79a4e70d752a0ba7907b22b071276601c1b2b983b557104350e906a691182b8c07f753462a5d72d906d0f7d4ca74ed0d8bbe387","JF101317",,"2021-12-31T13:30:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2022-01-02T15:00:00.000","FOLLOWING TOO CLOSELY","FOLLOWING TOO CLOSELY","4400","W","55TH ST","815",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.793226012","-87.733024083","POINT (-87.733024082995 41.793226012108)"
"0ff41d1ad3fb1e9bba0015c72222f5569df3b1254ce9d09e8aaf2414f408e31fc293b445df4c28a3e3cccf0fc89adc33e08720ed706c27a110c92ba5854a77a4","JF100566","Y","2021-12-31T13:30:00.000","30","NO CONTROLS","NO CONTROLS","UNKNOWN","UNKNOWN","PARKED MOTOR VEHICLE","ONE-WAY",,"STRAIGHT AND LEVEL","UNKNOWN","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2022-01-01T13:30:00.000","UNABLE TO DETERMINE","UNABLE TO DETERMINE","2050","N","BISSELL ST","1812",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","13","6","12","41.919622612","-87.65234538","POINT (-87.652345379655 41.919622612473)"
"77431b38762c7d632f83881886b3a1c94a52f6cb17ad6eedfee76629d0f68ad6def7faaa8fa348e4c706996b4c45476a864223b5c0e7e76cfff2b41ba4d527a4","JE494024",,"2021-12-31T13:30:00.000","15","UNKNOWN","UNKNOWN","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","PARKING LOT",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2021-12-31T15:00:00.000","DRIVING SKILLS/KNOWLEDGE/EXPERIENCE","UNABLE TO DETERMINE","1648","W","115TH ST","2234",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","13","6","12","41.684892606","-87.663640293","POINT (-87.663640292916 41.68489260582)"
"1c34763adabf56d36bdf33806e026a5f6794b1e7a3ca5c43ca4d7ef8d9bd13c70989498247ef0428df9ee1f83f66863bd254e5042510c7c462ff2fe4812468ac","JE494010",,"2021-12-31T13:30:00.000","30","TRAFFIC SIGNAL","UNKNOWN","UNKNOWN","DAYLIGHT","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2021-12-31T14:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","500","W","63RD ST","711",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","13","6","12","41.779976879","-87.637567756","POINT (-87.637567755839 41.77997687947)"
"d190dd973dea076b750308dff1272f56fa724e93d8a54cb16ee56cbb070522c4ca87ec75ffc9a8c1c10971aa391d872096c92bee4351fead8e0b01a6caada0e7","JE493990","Y","2021-12-31T13:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DAYLIGHT","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY",,,"Y","$501 - $1,500","2021-12-31T13:44:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","9118","S","COMMERCIAL AVE","423",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","13","6","12","41.729472074","-87.551388801","POINT (-87.551388801438 41.729472074284)"
