"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1255349","DRIVER","305b06235b250aa0029c07313c84f969f4bc13c1cc371592780886815ca51411acb80530c99edd0cd57329d1e808ca56923fb2d4a8ba93bd7d0b272eda9d769f","JE494008","1191605","2021-12-31T14:00:00.000",,,,,"M",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255350","DRIVER","305b06235b250aa0029c07313c84f969f4bc13c1cc371592780886815ca51411acb80530c99edd0cd57329d1e808ca56923fb2d4a8ba93bd7d0b272eda9d769f","JE494008","1191608","2021-12-31T14:00:00.000",,,,,"X",,,,"NONE PRESENT","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST REFUSED",,
"O1255367","DRIVER","530411c8611eb0ccb9b25f16b2955cd21761fa1928dcaa71279438be032526d11c08ca75075f176d2dc0085665b171fd57eca2c7cf88221d1191d351867bec81","JE494048","1191620","2021-12-31T14:00:00.000",,"CHICAGO","IL","60638","M","62","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255368","DRIVER","530411c8611eb0ccb9b25f16b2955cd21761fa1928dcaa71279438be032526d11c08ca75075f176d2dc0085665b171fd57eca2c7cf88221d1191d351867bec81","JE494048","1191622","2021-12-31T14:00:00.000",,"CHICAGO","IL","60638","F","64","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255343","DRIVER","444221c2a9bc82fc4f301062ab22b482d7d661cf88fcdf3b7b7e04e3675673f651dc99513069ca0ff83fc0bd852790324463419e52ba713a25703c94d15a156b","JE494016","1191596","2021-12-31T13:56:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255344","DRIVER","444221c2a9bc82fc4f301062ab22b482d7d661cf88fcdf3b7b7e04e3675673f651dc99513069ca0ff83fc0bd852790324463419e52ba713a25703c94d15a156b","JE494016","1191600","2021-12-31T13:56:00.000",,"MILWAUKEE","WI","53223","F","30","WI","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255365","BICYCLE","4603435fbb4ef5d45c0d805c3e9aa5558a311a140a737e37aa56d4f70ea0161f8f2e187270d33f36070c6a1b0f0c26401d0f0ad8b3f9dae797f8041f754d6297","JE494049",,"2021-12-31T13:46:00.000",,"CHICAGO","IL","60637","M","33",,,"BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY)",,"NONE","NONINCAPACITATING INJURY","JACKSON PARK","CFD",,"IMPROPER PASSING","UNKNOWN","UNKNOWN","UNKNOWN/NA","NO CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"O1255366","DRIVER","4603435fbb4ef5d45c0d805c3e9aa5558a311a140a737e37aa56d4f70ea0161f8f2e187270d33f36070c6a1b0f0c26401d0f0ad8b3f9dae797f8041f754d6297","JE494049","1191616","2021-12-31T13:46:00.000",,,,,"M",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280648","PASSENGER","4603435fbb4ef5d45c0d805c3e9aa5558a311a140a737e37aa56d4f70ea0161f8f2e187270d33f36070c6a1b0f0c26401d0f0ad8b3f9dae797f8041f754d6297","JE494049","1191616","2021-12-31T13:46:00.000","3",,,,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255347","DRIVER","db62bb4534d0dae57112ea3ff8d50193784aaa732ed58d1fe2f7ccb826798a0e6c56cf119a5102e696b79aa081ef0af9f96ba1779d17bc7fcc258675d53ae540","JE494000","1191602","2021-12-31T13:45:00.000",,,,,"F",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
